Station Name,x,y
Alewife,163,117
Davis,187,116
Porter Square,184,163
Harvard Square,184,163
Central Square,184,163
Kendall/MIT,184,163
Charles/MGH,184,163
Park Street,242,196
Downtown Crossing,242,196
South Station,242,196
Broadway,242,196
Andrew,242,196
JFK/UMass,242,196
Savin Hill,242,196
Fields Corner,242,196
Shawmut,242,196
Ashmont,242,196
Cedar Grove,242,196
Butler,242,196
Milton,242,196
Central Avenue,242,196
Valley Road,242,196
Capen Street,242,196
Mattapan,242,196
North Quincy,242,196
Wollaston,242,196
Quincy Center,242,196
Quincy Adams,242,196
Braintree,242,196
Oak Grove,242,196
Malden Center,242,196
Wellington,174,351
Sullivan Square,174,351
Community College,174,351
North Station,174,351
Haymarket,174,351
State,174,351
Downtown Crossing,174,351
Chinatown,174,351
New England Medical Center,174,351
Back Bay,174,351
Massachusetts Avenue,290,410
Ruggles,290,410
Roxbury Crossing,290,410
Jackson Square,290,410
Stony Brook,290,410
Green Street,290,410
Forest Hills,290,410
Lechmere,290,410
Science Park,290,410
North Station,290,410
Haymarket,290,410
Government Center,290,410
Park Street,290,410
Boylston,290,410
Arlington,290,410
Copley,290,410
Hynes Convention Center,290,410
Kenmore,290,410
Blandford Street,290,410
Boston University East,290,410
Boston University Central,290,410
Boston University West,290,410
St. Paul Street (1),290,410
Pleasant Street,290,410
Babcock Street,290,410
Packards Corner,158,499
Harvard Avenue,158,499
Griggs Street/Long Avenue,158,499
Allston Street,158,499
Warren Street,158,499
Washington Street,158,499
Sutherland Street,158,499
Chiswick Road,158,499
Chestnut Hill Avenue,158,499
South Street,158,499
Boston College,158,499
St. Marys Street,158,499
Hawes Street,158,499
Kent Street,158,499
St. Paul Street (2),158,499
Coolidge Corner,158,499
Summit Avenue,158,499
Brandon Hall,158,499
Fairbanks,158,499
Washington Square,158,499
Tappan Street,158,499
Dean Road,158,499
Englewood Avenue,158,499
Cleveland Circle,71,438
Fenway,71,438
Longwood,71,438
Brookline Village,71,438
Brookline Hills,71,438
Beaconsfield,71,438
Reservoir,71,438
Chestnut Hill,107,268
Newton Center,107,268
Newton Highlands,107,268
Eliot,107,268
Waban,107,268
Woodland,107,268
Riverside,107,268
Prudential,107,268
Symphony,107,268
Northeastern University,107,268
Museum of Fine Arts,107,268
Longwood Medical Area,107,268
Brigham Circle,107,268
Fenwood Street,107,268
Mission Park,107,268
Riverway,107,268
Back of the Hill,428,73
Heath Street,428,73
Wonderland,428,73
Revere Beach,428,73
Beachmont,428,73
Suffolk Downs,428,73
Orient Heights,428,73
Wood Island,428,73
Airport,428,73
Maverick,428,73
Aquarium,428,73
State,428,73
Government Center,428,73
Bowdoin,428,73
